mtAddress, lat, lng, group, wheelchair, mtDay, start, end, type, spinterest, zone, mtlocation
"701 W 168TH ST New York NY ", 40.8424566, -73.9424508 , "A NEW WAY OF LIVING", true,"Thursday", "12:00 PM", "1:00 PM" ,"S", "null",10, "Columbia Presbyterian Hospital"
"701 W 168TH ST New York NY ", 40.8424566, -73.9424508 , "A NEW WAY OF LIVING", true,"Friday", "12:00 PM", "1:00 PM" ,"C", "Living Sober",10, "Columbia Presbyterian Hospital"
"701 W 168TH ST New York NY ", 40.8424566, -73.9424508 , "A NEW WAY OF LIVING", true,"Monday", "12:00 PM", "1:00 PM" ,"BB", "null",10, "Columbia Presbyterian Hospital"
"701 W 168TH ST New York NY ", 40.8424566, -73.9424508 , "A NEW WAY OF LIVING", true,"Tuesday", "12:00 PM", "1:00 PM" ,"B", "null",10, "Columbia Presbyterian Hospital"
"701 W 168TH ST New York NY ", 40.8424566, -73.9424508 , "A NEW WAY OF LIVING", true,"Wednesday", "12:00 PM", "1:00 PM" ,"C", "null",10, "Columbia Presbyterian Hospital"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:I)", false,"Monday", "10:00 AM", "11:00 AM" ,"OD", "null",10, "Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:I)", false,"Tuesday", "10:00 AM", "11:00 AM" ,"B", "Living Sober",10, "Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:I)", false,"Wednesday", "10:00 AM", "11:00 AM" ,"BB", "null",10, "Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:I)", false,"Thursday", "10:00 AM", "11:00 AM" ,"S", "null",10, "Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:I)", false,"Friday", "10:00 AM", "11:00 AM" ,"OD", "null",10, "Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "BRIDGE TO SOBRIETY (:II)", true,"Sunday", "10:00 AM", "11:00 AM" ,"S", "null",10, "Holy Rood Church"
"431 W 204TH ST New York NY ", 40.8620966104922, -73.9190004613749 , "DYCKMAN", false,"Sunday", "12:00 PM", "1:00 PM" ,"O", "null",10, "St. Jude''s School"
"431 W 204TH ST New York NY ", 40.8620966104922, -73.9190004613749 , "DYCKMAN", false,"Wednesday", "7:00 PM", "8:00 PM" ,"S", "null",10, "St. Jude''s School"
"550 W 155TH ST New York NY ", 40.8321452, -73.9448547 , "FOUND A WAY", false,"Saturday", "12:30 PM", "2:00 PM" ,"C", "Gay Men",10, "Church of the Intercession"
"557 W 156TH ST New York NY ", 40.8333254, -73.9446563 , "GRUPO DESPERTAR", true,"Wednesday", "8:00 PM", "10:00 PM" ,"C", "null",10, "Casita Esperanza"
"557 W 156TH ST New York NY ", 40.8333254, -73.9446563 , "GRUPO DESPERTAR", true,"Friday", "8:00 PM", "10:00 PM" ,"OD", "null",10, "Casita Esperanza"
"35 THAYER ST New York NY ", 40.8626147, -73.9263819 , "GRUPO LA FLAMA PANAMERICANA", true,"Sunday", "5:00 PM", "7:00 PM" ,"O", "null",10, "null"
"35 THAYER ST New York NY ", 40.8626147, -73.9263819 , "GRUPO LA FLAMA PANAMERICANA", true,"Tuesday", "8:00 PM", "10:00 PM" ,"O", "null",10, "null"
"35 THAYER ST New York NY ", 40.8626147, -73.9263819 , "GRUPO LA FLAMA PANAMERICANA", true,"Thursday", "8:00 PM", "10:00 PM" ,"O", "null",10, "null"
"35 THAYER ST New York NY ", 40.8626147, -73.9263819 , "GRUPO LA FLAMA PANAMERICANA", true,"Saturday", "8:00 PM", "10:00 PM" ,"O", "null",10, "null"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "GRUPO LIBERTAD", true,"Tuesday", "7:30 PM", "8:30 PM" ,"BB", "null",10, "Episcopal Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "GRUPO LIBERTAD", true,"Thursday", "7:30 PM", "8:30 PM" ,"BB", "null",10, "Episcopal Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "GRUPO LIBERTAD", true,"Thursday", "9:30 PM", "10:30 AM" ,"C", "null",10, "Episcopal Holy Rood Church"
"715 W 179TH ST New York NY ", 40.8492702, -73.9382266 , "GRUPO LIBERTAD", true,"Tuesday", "9:30 PM", "10:30 PM" ,"C", "null",10, "Episcopal Holy Rood Church"
"502 W 165TH ST New York NY ", 40.8378476619065, -73.9384773058967 , "GRUPO RECUPERACION", false,"Sunday", "2:30 PM", "3:30 PM" ,"O", "null",10, "Church Santa Rosa de Lima"
"502 W 165TH ST New York NY ", 40.8378476619065, -73.9384773058967 , "GRUPO RECUPERACION", false,"Tuesday", "8:00 PM", "9:00 PM" ,"C", "null",10, "Church Santa Rosa de Lima"
"502 W 165TH ST New York NY ", 40.8378476619065, -73.9384773058967 , "GRUPO RECUPERACION", false,"Thursday", "8:00 PM", "9:00 PM" ,"O", "null",10, "Church Santa Rosa de Lima"
"91 ARDEN ST New York NY ", 40.8639073, -73.9282532 , "GRUPO UN NUEVO AMANECER", false,"Monday", "8:00 PM", "9:00 PM" ,"C", "null",10, "Our Lady Queen of Martyrs"
"91 ARDEN ST New York NY ", 40.8639073, -73.9282532 , "GRUPO UN NUEVO AMANECER", false,"Friday", "8:00 PM", "9:00 PM" ,"OD", "null",10, "Our Lady Queen of Martyrs"
"20 CUMMING ST New York NY ", 40.8664723, -73.9264521 , "HAPPY DESTINY", false,"Sunday", "7:30 PM", "8:30 PM" ,"C", "Gay Lesbian and Bisexual",10, "Holy Trinity Episcopal Church"
"20 CUMMING ST New York NY ", 40.8664723, -73.9264521 , "HAPPY DESTINY", false,"Wednesday", "7:30 PM", "8:30 PM" ,"B", "Gay Lesbian and Bisexual",10, "Holy Trinity Episcopal Church"
"84 VERMILYEA AVE New York NY ", 40.86596, -73.9231447 , "INWOOD FORT TRYON", false,"Saturday", "11:00 AM", "12:00 PM" ,"B", "null",10, "Mount Washington Presbyterian Church"
"84 VERMILYEA AVE New York NY ", 40.86596, -73.9231447 , "INWOOD FORT TRYON", false,"Saturday", "11:00 AM", "12:00 PM" ,"C", "null",10, "Mount Washington Presbyterian Church"
"84 VERMILYEA AVE New York NY ", 40.86596, -73.9231447 , "INWOOD FORT TRYON", false,"Tuesday", "12:30 PM", "1:30 PM" ,"C", "null",10, "Mount Washington Presbyterian Church"
"620 ISHAM ST New York NY ", 40.8692449, -73.9206611 , "ISHAM PARK", false,"Monday", "8:00 PM", "9:00 PM" ,"C", "null",10, "Church of the Good Shepherd"
